definition_id,criteria_name,value,unit,value_si
def_uni_2009_382,min_height,20.0,metre,20.0
def_uni_2009_382,min_width,20.0,metre,20.0
def_usa_2001_383,min_height,120.0,feet,36.576
def_usa_2007_384,min_area,1.0,acre,0.404686
def_usa_2007_384,min_canopy_cover,10.0,,10.0
def_usa_2007_384,min_height,120.0,feet,36.576
def_chi_2011_386,min_area,0.5,hectare,0.5
def_chi_2011_386,min_canopy_cover,10.0,,10.0
def_chi_2011_386,min_height,5.0,meter,5.0
def_vie_2016_387,min_area,0.5,ha,0.5
def_vie_2016_387,min_height,5.0,meter,5.0
def_cam_2000_390,min_area,0.5,hectare,0.5
def_cam_2000_390,min_canopy_cover,10.0,,10.0
def_fin_2009_393,min_height,1.0,m,1.0
def_lat_unknown_399,min_canopy_cover,20.0,,20.0
def_usa_unknown_405,min_height,4.0,meter,4.0
def_vie_2004_407,min_canopy_cover,10.0,,10.0
def_usa_unknown_416,min_canopy_cover,10.0,,10.0
def_usa_unknown_416,min_height,5.0,m,5.0
def_can_unknown_426,min_area,10.0,ha,10.0
def_unk_2012_428,min_area,1.0,hectare,1.0
def_unk_2012_428,min_height,5.0,meter,5.0
def_usa_unknown_444,min_area,1.0,acre,0.404686
def_usa_unknown_446,min_height,6.0,meter,6.0
def_usa_1994_453,min_canopy_cover,10.0,,10.0
def_usa_1994_453,min_height,3.0,meter,3.0
def_usa_unknown_460,min_height,25.0,feet,7.62
def_usa_unknown_463,min_canopy_cover,10.0,,10.0
def_aus_unknown_464,min_canopy_cover,30.0,,30.0
def_aus_unknown_464,min_height,5.0,m,5.0
def_aus_unknown_465,min_height,5.0,metre,5.0
def_usa_2000_473,min_area,1.0,acre,0.404686
def_usa_2000_473,min_height,120.0,feet,36.576
def_usa_unknown_474,min_height,120.0,feet,36.576
def_usa_2000_475,min_area,1.0,acre,0.404686
def_usa_2000_475,min_height,120.0,feet,36.576
def_usa_1995_478,min_area,1.0,acre,0.404686
def_usa_2007_495,min_area,1.0,acre,0.404686
def_usa_unknown_496,min_canopy_cover,50.0,,50.0
def_usa_unknown_496,min_height,4.5,feet,1.3716000000000002
def_usa_unknown_499,min_area,40.0,acre,16.18744
def_usa_2002_502,min_height,3.0,m,3.0
def_usa_1996_505,min_area,15.0,acre,6.07029
def_usa_unknown_506,min_area,15.0,acre,6.07029
def_usa_unknown_510,min_area,20.0,acre,8.09372
def_usa_unknown_515,min_area,10.0,acre,4.04686
def_usa_unknown_524,min_area,25.0,acre,10.11715
def_usa_2000_526,min_area,1.0,acre,0.404686
def_usa_2000_526,min_height,120.0,feet,36.576
def_usa_unknown_540,min_height,26.0,m,26.0
def_eur_unknown_549,min_height,15.0,m,15.0
def_unk_1994_550,min_height,2.0,m,2.0
def_unk_2014_553,min_height,5.0,metre,5.0
def_mal_1984_556,min_height,5.0,meter,5.0
def_new_2011_557,min_height,5.0,metre,5.0
def_usa_unknown_561,min_height,12.0,feet,3.6576000000000004
def_usa_1998_562,min_height,15.0,feet,4.572
def_unk_2003_567,min_area,0.5,ha,0.5
def_unk_2003_567,min_height,5.0,m,5.0
def_unk_2003_567,min_width,2000.0,m,2000.0
def_aus_1999_573,min_canopy_cover,20.0,,20.0
def_aus_1999_573,min_height,10.0,m,10.0
def_can_1998_575,min_area,0.5,ha,0.5
def_can_1998_575,min_canopy_cover,60.0,,60.0
def_can_1998_575,min_height,40.0,metre,40.0
def_can_1998_575,min_width,40.0,metre,40.0
def_tur_2012_577,min_height,8.0,m,8.0
def_tur_2012_577,min_width,8.0,m,8.0
def_uk_2014_578,min_canopy_cover,20.0,,20.0
def_usa_unknown_579,min_area,10.0,acre,4.04686
def_unk_unknown_581,min_canopy_cover,30.0,,30.0
def_ger_unknown_584,min_height,5.0,meter,5.0
def_unk_unknown_586,min_area,0.5,ha,0.5
def_unk_1998_594,min_area,1.0,ha,1.0
def_unk_1998_594,min_height,1.3,meter,1.3
def_ukr_1998_605,min_height,28.0,m,28.0
def_ken_2005_617,min_canopy_cover,370.0,,370.0
def_unk_1998_621,min_canopy_cover,10.0,,10.0
def_eur_1990_622,min_canopy_cover,10.0,,10.0
def_unk_2000_623,min_canopy_cover,10.0,,10.0
def_unk_1995_629,min_canopy_cover,10.0,,10.0
def_unk_2001_637,min_canopy_cover,10.0,,10.0
def_ind_unknown_638,min_canopy_cover,10.0,,10.0
def_unk_2001_652,min_canopy_cover,10.0,,10.0
def_unk_unknown_664,min_height,1.3,m,1.3
def_unk_2001_668,min_area,0.05,hectare,0.05
def_unk_2007_677,min_height,2007.0,m,2007.0
def_ind_2017_692,min_canopy_cover,10.0,,10.0
def_per_2014_693,min_area,0.09,hectare,0.09
def_usa_unknown_694,min_area,10.0,acre,4.04686
def_ken_2005_699,min_canopy_cover,370.0,,370.0
def_unk_1995_705,min_canopy_cover,10.0,,10.0
def_unk_2001_709,min_canopy_cover,10.0,,10.0
def_ind_unknown_710,min_canopy_cover,10.0,,10.0
def_chi_unknown_726,min_area,0.5,hectare,0.5
def_chi_unknown_726,min_canopy_cover,25.0,,25.0
def_chi_unknown_726,min_height,5.0,meter,5.0
def_unk_1994_727,min_height,2.0,m,2.0
def_per_2015_728,min_area,0.5,hectare,0.5
def_per_2015_728,min_canopy_cover,30.0,,30.0
def_per_2015_728,min_height,5.0,m,5.0
def_den_1998_729,min_area,0.5,ha,0.5
def_den_1998_729,min_height,30.0,m,30.0
def_unk_2006_730,min_height,0.25,m,0.25
def_lit_2010_731,min_area,0.1,ha,0.1
def_lit_2010_731,min_height,5.0,m,5.0
